IdProdus,NumeProdus,CODPRODUS,DescriereProdus,StocStatus,PretRetail,PretRedus,Imagini,Brand
30445,Scaun auto Mandara cu Isofix Crocodile Coffee,968B-23H Coffee,"<br><h1> Scaun auto Mandara cu Isofix Coffee Crocodile 0 36 kg pozitie somn 135 grade</h1>
<br><br><tbody><tr>
<td>
<img src='https://www.jucarii-online.eu/image/catalog/Crocodile/prima_as_Smart_Object_1.jpg'></td>
<td><br>Cu un design foarte atragator pentru cei mici, scaunul auto Mandara cu Isofix este potrivit pentru <b>grupele de varsta 0, 1, 2 si 3</b> - de la <b>0 la 36 kilograme</b>.<br> 
<br>Scaunul are forma ergonomica si sisteme de ajustare optime.<br></td></tr>
<tr><td><br><h2>Cum montam scaunul?</h2></td>
<td> </td></tr>
<tr><td><br> Scaunul se monteaza cu spatele la sensul de mers in cazul <b>GRUPEI ZERO</b> (copii cu greutatea <b>0-13 kg</b> si varsta <b>0-15 luni)</b>.<br>
<br> Atentie: nu montati scaunul cu spatele la sensul de mers pe un scaun care are airbagul activat! </td>
<td> <img src=' https://www.jucarii-online.eu/image/catalog/Crocodile/grupa_0_as_Smart_Object_1_as_Smart_Object_1.jpg '>
 <br></td></tr>
<tr><td><img src=' https://www.jucarii-online.eu/image/catalog/Crocodile/grupa2_3_as_Smart_Object_1_as_Smart_Object_1.jpg'></td>
<td> Pentru <b>GRUPA 1,2 si 3</b> (copii cu greutatea <b>9-36 kg</b> si varsta <b>9 luni-12 ani</b>) scaunul<br>
se monteaza cu fata la sensul de mers. !. </td>
</tr>
<tr><td><br><h2>Caracteristici:<br></h2></td>
</tr><tr>
<td><br><p> Sistem nou de <b>ajustare a spatarului in 4 pozitii</b> - pana la <b>135 GRADE</b>. <br></p></td>
<td><img src=' https://www.jucarii-online.eu/image/catalog/Crocodile/rabatare_full_as_Smart_Object_1_as_Smart_Object_1_as_Smart_Object_1.jpg'></td></tr>
<tr><td>
<img src=' https://www.jucarii-online.eu/image/catalog/Crocodile/centura2_as_Smart_Object_1_as_Smart_Object_1.jpg '></td>

<td><br>Scaunul are sistem de <b>centura</b> de siguranta in <b>5 puncte</b>. Centura poate fi <b>ajustabila</b><br>
in <b>3 pozitii</b> in functie de inaltimea copilului. ;</td></tr>
<tr><td><br> Scaunul este dotat cu sistem de prindere <b>ISOFIX</b> care mareste protectia si stabilitatea copilului Dvs. <br></td>
<td><img src=' https://www.jucarii-online.eu/image/catalog/Crocodile/isofix_as_Smart_Object_1_as_Smart_Object_1.jpg '><br></td>
</tr><tr><td><img src=' https://www.jucarii-online.eu/image/catalog/Crocodile/tetiera.jpg '></td>
<td><br><b>Tetiera</b> este <b>ajustabila</b> in <b>4 pozitii</b>. <br></td>
</tr></tbody>

<br>Materialul moale si protectiile in zona capului si lombara asigura confort sporit si protectie in caz de impact. Husa tetierei este detasabila si lavabila. <br>
<br>Cu o greutate de 8 kilograme scaunul auto Mandara cu Isofix este unul dintre cele mai usoare scaune de pe piata. <br>
<br><h2>Dimensiuni<br></h2>
<br>Dimensiuni produs: 45.5*55.3*63 cm. <br>
<br><h2>Siguranta<br></h2>
<br>Scaunul este certificat conform Standardelor Europene pentru siguranta <b>ECE R44/04</b>.<br><br>Scaunul are sistemul de siguranta <b>SIPS</b>.<br><p><br>
</p><tbody><tr>


</tr></tbody>"nu este in stoc,713,713,"https://www.jucarii-online.eu/image/catalog/Crocodile/_DSC5445_b.jpg,https://www.jucarii-online.eu/image/catalog/Crocodile/_DSC5449_b.jpg,https://www.jucarii-online.eu/image/catalog/Crocodile/_DSC5448_b.jpg,https://www.jucarii-online.eu/image/catalog/Crocodile/_DSC5447_b.jpg,https://www.jucarii-online.eu/image/catalog/Crocodile/_DSC5446_b.jpg",Crocodile